iter	RMSE
0	14.07197159
1	13.15951988
2	12.35055445
3	11.61357675
4	10.89179825
5	10.37614205
6	9.843606862
7	9.437730206
8	9.027884463
9	8.601266732
10	8.235176214
11	7.941813207
12	7.667835305
13	7.411145219
14	7.152329209
15	6.956985378
16	6.813724375
17	6.647048812
18	6.502668087
19	6.377652617
20	6.259853099
21	6.15534102
22	6.05891434
23	5.965750187
24	5.888084756
25	5.82788658
26	5.747546779
27	5.691091337
28	5.635850652
29	5.582759658
30	5.547078284
31	5.507041804
32	5.468988172
33	5.442893981
34	5.408285109
35	5.370176707
36	5.337472147
37	5.313917293
38	5.297080244
39	5.2749402
40	5.248759502
41	5.2334152
42	5.222606349
43	5.204197096
44	5.184091787
45	5.153148708
46	5.142779013
47	5.119951938
48	5.110615846
49	5.088715087
50	5.075635163
51	5.062193158
52	5.050669719
53	5.039849849
54	5.029575882
55	5.017024028
56	5.005486168
57	4.985364315
58	4.979415074
59	4.968518755
60	4.961301109
61	4.946836169
62	4.94093561
63	4.931415057
64	4.917432541
65	4.907528852
66	4.902552777
67	4.887687661
68	4.878442861
69	4.868648356
70	4.855072057
71	4.838372016
72	4.831472168
73	4.822202376
74	4.811250907
75	4.800778673
76	4.782406316
77	4.775573268
78	4.770062658
79	4.766460076
80	4.756178311
81	4.750836729
82	4.741305051
83	4.732180137
84	4.718273558
85	4.714024518
86	4.706930153
87	4.70201865
88	4.691455557
89	4.685238281
90	4.673381265
91	4.669735798
92	4.657362028
93	4.649674488
94	4.643064944
95	4.640038213
96	4.624872572
97	4.616406088
98	4.607358862
99	4.603058644
